season,round,race_name,circuit_id,circuit_name,country,locality,date,race_url
2009,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2009-04-26,https://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2009-05-10,https://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2009-05-24,https://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,7,Turkish Grand Prix,istanbul,Istanbul Park,Turkey,Istanbul,2009-06-07,https://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,8,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2009-06-21,https://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,9,German Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2009-07-12,https://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,10,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2009-07-26,https://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
2009,11,European Grand Prix,valencia,Valencia Street Circuit,Spain,Valencia,2009-08-23,https://en.wikipedia.org/wiki/2009_European_Grand_Prix
2009,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2009-08-30,https://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
2009,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2009-09-13,https://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
2009,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,2009-09-27,https://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
2009,15,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2009-10-04,https://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
2009,16,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2009-10-18,https://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
2009,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,2009-11-01,https://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
2010,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2010-03-14,https://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix
2010,2,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2010-03-28,https://en.wikipedia.org/wiki/2010_Australian_Grand_Prix
2010,3,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2010-04-04,https://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix
2010,4,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2010-04-18,https://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix
2010,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2010-05-09,https://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix
2010,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2010-05-16,https://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix
2010,7,Turkish Grand Prix,istanbul,Istanbul Park,Turkey,Istanbul,2010-05-30,https://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix
2010,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2010-06-13,https://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix
2010,9,European Grand Prix,valencia,Valencia Street Circuit,Spain,Valencia,2010-06-27,https://en.wikipedia.org/wiki/2010_European_Grand_Prix
2010,10,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2010-07-11,https://en.wikipedia.org/wiki/2010_British_Grand_Prix
2010,11,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2010-07-25,https://en.wikipedia.org/wiki/2010_German_Grand_Prix
2010,12,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2010-08-01,https://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix
2010,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2010-08-29,https://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix
2010,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2010-09-12,https://en.wikipedia.org/wiki/2010_Italian_Grand_Prix
2010,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,2010-09-26,https://en.wikipedia.org/wiki/2010_Singapore_Grand_Prix
2010,16,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2010-10-10,https://en.wikipedia.org/wiki/2010_Japanese_Grand_Prix
2010,17,Korean Grand Prix,yeongam,Korean International Circuit,Korea,Yeongam County,2010-10-24,https://en.wikipedia.org/wiki/2010_Korean_Grand_Prix
2010,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2010-11-07,https://en.wikipedia.org/wiki/2010_Brazilian_Grand_Prix
2010,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,2010-11-14,https://en.wikipedia.org/wiki/2010_Abu_Dhabi_Grand_Prix
2011,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2011-03-27,https://en.wikipedia.org/wiki/2011_Australian_Grand_Prix
2011,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2011-04-10,https://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix
2011,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2011-04-17,https://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix
